ID,ID_клиента,фамилия,кредитный_рейтинг,город,пол,возраст,стаж_в_банке,баланс_депозита,число_продуктов,есть_кредитка,активный_клиент,оценочная_зарплата,ушел_из_банка
36,15658946,Тестов617,696,Астана,Female,32,5,,2,1,0,93717.55,0
37,15703437,Тестов461,521,Атырау,Female,27,6,167903.32,2,1,1,76637.38,0
38,15700255,Тестов130,651,Алматы,Female,32,8,,1,1,0,180712.52,0
39,15592387,Тестов506,695,Астана,Female,39,5,,2,1,1,177627.57,0
40,15689955,Тестов380,632,Алматы,Male,40,6,,3,1,1,128954.05,1
41,15763063,Тестов186,729,Атырау,Male,26,5,126816.18,1,0,1,174098.28,0
42,15706394,Тестов399,632,Астана,Female,45,9,,2,0,1,73562.05,0
43,15756926,Даулетов,687,Астана,Female,31,4,,2,1,1,26772.04,0
44,15801256,Тестов527,578,Алматы,Male,29,5,,2,0,0,143598.7,0
45,15659820,Тестов29,645,Атырау,Male,33,9,176958.46,2,1,0,135068.99,0
46,15802758,Тестов130,550,Атырау,Female,33,10,106234.02,1,1,0,62454.01,1
47,15641575,Тестов642,714,Алматы,Male,32,8,102290.56,1,1,1,167984.72,0
48,15662571,Тестов589,676,Атырау,Female,33,5,98775.23,1,0,1,173498.45,0
49,15811327,Тестов262,679,Атырау,Male,43,6,118830.06,1,1,0,162960.05,1
50,15673529,Тестов303,541,Астана,Female,57,5,,2,1,1,46735.19,0
51,15678057,Тестов640,646,Астана,Male,29,9,,2,1,0,133091.32,0
52,15697480,Тестов146,521,Атырау,Female,45,5,153861.1,2,1,1,132973.17,0
53,15766552,Тестов441,705,Астана,Male,33,5,103417.73,1,1,1,122221.73,0
54,15674928,Тестов403,735,Астана,Female,34,4,,1,1,0,92826.53,0
55,15777616,Тестов63,679,Атырау,Male,39,2,125831.36,2,1,1,193209.11,0
56,15696054,Тестов414,492,Атырау,Female,56,3,110929.96,1,1,1,180934.67,1
57,15716085,Тестов180,677,Астана,Female,72,2,,1,1,1,158736.07,0
58,15649060,Тестов704,635,Атырау,Male,38,5,133434.57,2,1,1,129563.86,0
59,15778049,Тестов139,594,Алматы,Female,27,2,,2,1,1,157891.86,0
60,15632438,Тестов225,684,Астана,Male,47,4,,2,1,0,138882.98,1
61,15683544,Тестов328,606,Астана,Male,43,3,,2,1,1,49684.09,0
62,15601558,Тестов486,551,Атырау,Male,31,2,137811.75,2,0,0,91406.62,0
63,15799790,Тестов673,742,Атырау,Male,43,2,177799.83,1,1,0,158036.72,1
64,15762392,Тестов696,748,Алматы,Male,36,4,,2,1,1,88842.8,0
65,15749328,Тестов70,683,Атырау,Male,35,1,81844.81,2,0,1,44506.09,0
66,15738042,Тестов197,738,Алматы,Male,34,1,166082.18,1,1,0,145792.01,0
67,15722599,Калиев,586,Алматы,Male,37,8,,2,0,0,174027.3,0
68,15571221,Тестов64,614,Атырау,Female,37,9,132412.38,1,0,1,102233.73,0
69,15693381,Тестов210,598,Алматы,Female,32,7,,2,1,1,152992.04,0
70,15782591,Тестов481,850,Алматы,Female,20,5,,2,1,1,169952.82,0
71,15772528,Тестов149,815,Атырау,Male,36,8,128928.87,1,0,1,86767.48,1
72,15595426,Тестов539,738,Атырау,Male,32,5,82909.14,1,1,1,77951.84,0
73,15643630,Тестов560,548,Алматы,Female,33,5,,2,1,0,73881.68,0
74,15632665,Тестов714,628,Астана,Male,33,8,,2,1,1,137898.58,0
75,15779496,Тестов404,743,Атырау,Female,40,7,122917.71,1,0,1,138881.01,1
76,15682600,Тестов699,634,Алматы,Female,34,8,,2,1,0,118429.02,0
77,15604891,Тестов539,619,Алматы,Male,34,2,,2,1,1,141152.28,0
78,15677371,Тестов498,656,Астана,Female,48,1,,2,1,1,142538.31,0
79,15779103,Тестов212,762,Атырау,Male,35,4,120822.86,2,1,0,4441.54,0
80,15587066,Тестов567,753,Астана,Male,45,6,91536.93,1,0,0,48988.28,0
81,15571917,Тестов427,686,Алматы,Female,43,2,,2,0,1,151167.94,0
82,15691906,Тестов273,742,Алматы,Male,33,8,,1,1,1,115062.02,0
83,15747757,Тестов522,599,Астана,Male,31,5,,2,1,0,166677.35,0
84,15633608,Тестов450,704,Алматы,Male,33,3,,2,1,1,141756.32,0
85,15771535,Тестов353,731,Алматы,Male,44,3,83061.26,2,1,0,135841.35,0
86,15616280,Тестов30,598,Астана,Female,48,1,,1,1,0,105986.01,1
87,15765694,Тестов469,739,Алматы,Female,31,5,,2,1,0,181598.25,0
88,15596914,Тестов149,696,Алматы,Female,34,9,,2,1,1,61581.2,0
89,15704053,Тестов194,716,Атырау,Male,52,9,101084.36,1,1,0,161845.81,1
90,15789924,Тестов327,738,Алматы,Male,33,7,,2,1,0,146517.31,0
91,15744368,Тестов462,657,Атырау,Male,41,1,96473.33,1,0,1,71593.02,0
92,15684512,Тестов225,738,Алматы,Male,35,2,121355.99,1,0,1,129964.94,0
93,15775709,Тестов458,577,Астана,Female,35,3,,1,1,0,178827.3,1
94,15772892,Тестов748,738,Алматы,Female,52,9,,1,1,0,50267.69,1
95,15654891,Тестов481,706,Алматы,Female,49,5,,1,1,0,131886.46,1
96,15714586,Тестов692,592,Астана,Male,35,5,,2,1,0,152956.33,0
97,15795540,Тестов812,699,Алматы,Male,31,4,,2,0,1,167033.83,0
98,15582951,Тестов580,623,Алматы,Male,27,7,125906.65,1,0,1,181610.6,0
99,15665064,Тестов636,554,Атырау,Female,49,3,122552.34,1,1,0,49775.58,1
100,15699598,Тестов536,721,Астана,Male,34,0,,1,0,1,93835.64,0
101,15686936,Тестов406,705,Алматы,Female,40,3,,2,1,0,88827.67,0
102,15605742,Тестов809,582,Алматы,Male,39,2,90212,1,0,1,92811.2,0
103,15782530,Тестов696,584,Атырау,Female,30,6,133801.49,2,1,1,143022.42,0
104,15743545,Тестов541,803,Астана,Male,34,9,,2,1,0,55796.04,0
105,15742824,Тестов512,706,Алматы,Female,35,5,,2,1,0,164886.64,0
106,15673020,Тестов749,707,Астана,Female,40,10,107727.93,2,0,0,159891.02,0
107,15668323,Тестов239,676,Атырау,Male,28,6,102962.62,2,1,0,123954.15,0
108,15731740,Тестов152,649,Алматы,Male,41,4,,2,1,1,153983.99,0
109,15681671,Тестов771,659,Астана,Male,35,4,,2,1,1,168544.85,0
110,15656901,Тестов391,627,Астана,Female,35,2,,2,1,0,73977.23,0
111,15721937,Тестов447,754,Астана,Female,40,9,,2,0,1,67769.2,0
112,15658768,Тестов774,712,Алматы,Female,35,6,123378.2,1,1,1,181850.74,0
113,15578835,Тестов618,738,Астана,Female,33,8,,2,1,0,182705.05,0
114,15736124,Тестов759,850,Алматы,Male,44,4,,2,1,0,72462.25,0
115,15766183,Тестов435,516,Алматы,Male,47,3,,1,1,0,139946.68,1
116,15702561,Тестов759,754,Астана,Male,36,0,,2,1,0,167723.25,0
117,15750049,Тестов282,752,Атырау,Male,31,4,95128.86,2,1,1,52795.56,0
118,15596060,Тестов305,599,Алматы,Male,60,5,,1,0,1,133020.9,1
119,15762268,Тестов150,738,Алматы,Male,41,1,,2,0,0,138825.07,0
120,15694237,Тестов130,684,Алматы,Female,37,8,,2,1,0,91423.69,0
121,15671769,Тестов412,850,Атырау,Male,61,4,123544,1,1,0,182728.8,1
122,15567422,Тестов566,675,Алматы,Female,45,3,,2,0,0,127543.83,0
123,15791842,Тестов158,707,Алматы,Female,27,10,,2,1,1,141364.62,0
124,15728352,Тестов534,741,Атырау,Male,42,5,161651.37,1,1,1,70763.69,0
125,15761763,Тестов708,731,Алматы,Male,33,5,,2,0,0,114093.73,0
126,15656937,Тестов805,636,Алматы,Male,33,2,,2,1,0,126517.97,0
127,15751533,Тестов334,559,Астана,Female,29,7,,2,1,1,89248.99,0
128,15704954,Тестов328,694,Алматы,Female,38,1,96956.1,1,0,1,150242.44,0
129,15671987,Тестов819,694,Атырау,Female,56,8,131411.26,1,0,0,98820.09,1
130,15709142,Тестов533,516,Астана,Female,34,6,,2,1,1,74415.2,0
131,15622993,Тестов190,573,Астана,Female,33,9,,2,0,0,151310.16,0
132,15759066,Тестов633,620,Алматы,Female,29,8,99836.47,1,0,1,157921.25,0
133,15796958,Тестов525,684,Атырау,Male,28,8,106089.4,2,1,1,96734.15,0
134,15659949,Тестов105,634,Алматы,Male,37,4,121498.58,1,1,1,26796.73,0
135,15743873,Тестов805,673,Алматы,Male,31,6,,2,1,1,131768.98,0
136,15637315,Тестов495,468,Атырау,Male,51,4,118894.22,2,1,0,93715.86,1
137,15693893,Тестов130,684,Алматы,Female,33,10,,2,1,0,133537.53,0
138,15648075,Тестов544,743,Алматы,Female,37,6,,2,0,0,171681.86,0
139,15593773,Тулегенов,554,Алматы,Female,34,1,,1,1,0,178028.96,0
140,15652981,Тестов521,659,Алматы,Female,38,5,,2,0,1,133570.28,0
141,15684769,Тестов56,583,Алматы,Female,36,4,,2,1,1,5408.74,0
142,15776545,Тестов139,641,Алматы,Male,41,7,,2,1,1,48988.28,0
143,15697035,Тестов822,656,Алматы,Male,43,9,,2,1,1,176883.42,0
144,15659475,Тестов774,611,Алматы,Female,31,5,,2,1,1,1539.21,0
145,15807993,Тестов337,593,Атырау,Male,26,3,161203.76,1,1,1,51117.06,0
146,15731519,Тестов128,737,Алматы,Male,42,4,,2,1,1,65769.3,0
147,15790717,Тестов216,631,Атырау,Female,57,4,131354.43,1,1,1,132436.71,1
148,15806486,Тестов341,714,Алматы,Female,49,2,,2,1,1,120834.58,0
149,15691840,Тестов460,584,Атырау,Female,35,3,124577.33,1,1,0,146511.6,0
150,15604732,Тестов656,705,Атырау,Female,49,8,92786.66,1,0,1,83611.45,1
151,15672970,Тестов763,681,Алматы,Male,41,6,,2,1,1,160548.12,0
152,15651737,Тестов480,653,Астана,Female,27,4,,2,0,1,137519.92,0
153,15697034,Тестов371,561,Атырау,Male,39,9,142862.21,1,1,0,134875.31,0
154,15715078,Тестов395,554,Атырау,Male,35,9,98205.77,2,0,0,133007.34,0
155,15691910,Тестов170,716,Алматы,Female,44,4,,1,1,0,109626.08,1
156,15690546,Тестов651,661,Астана,Female,36,9,,1,1,1,176692.65,0
157,15790067,Тестов802,706,Алматы,Male,36,7,,2,1,0,158043.11,0
158,15671390,Тестов561,794,Астана,Female,55,6,,1,1,0,93883.53,1
159,15794413,Тестов194,709,Алматы,Female,50,0,,1,0,0,82662.73,1
160,15617320,Тестов553,644,Атырау,Female,55,5,111565.91,3,0,0,133600.89,1
161,15696764,Тестов536,675,Атырау,Female,41,5,89118.26,2,0,0,106036.19,0
162,15693637,Тестов513,590,Алматы,Female,46,6,,1,1,0,140189.72,0
163,15778861,Тестов162,544,Алматы,Male,31,9,,2,0,0,116547.56,0
164,15800961,Тестов322,715,Атырау,Male,36,4,117726.55,1,1,1,26342.33,0
165,15697510,Тестов455,769,Алматы,Female,29,6,,2,1,1,88890.05,0
166,15758856,Тестов44,648,Алматы,Male,34,2,,2,0,0,186948.35,0
167,15690733,Тестов305,665,Астана,Female,33,1,123835.52,1,1,1,147055.87,0
168,15610594,Тестов330,559,Атырау,Male,42,3,104983.29,1,0,1,9087.81,1
169,15586425,Тестов213,584,Астана,Female,44,2,,2,0,0,10666.05,0
170,15592736,Тестов516,587,Астана,Female,32,1,109958.02,1,0,1,140126.17,0
171,15573086,Тестов87,635,Алматы,Female,23,4,,1,1,1,88550.61,0
172,15571059,Тестов426,707,Алматы,Male,32,4,80764.03,1,1,1,132973.21,0
173,15788448,Тестов271,718,Алматы,Male,40,1,,2,1,1,171706.66,0
174,15770121,Тестов833,691,Алматы,Female,46,4,,2,1,1,57844.69,0
175,15677148,Тестов657,687,Алматы,Male,36,8,,2,1,0,149892.79,0
176,15576935,Тестов211,667,Алматы,Female,40,10,,2,0,1,174815.54,1
177,15632446,Тестов444,634,Атырау,Female,38,4,142296.13,1,1,1,189175.71,0
178,15773934,Тестов214,535,Алматы,Female,25,1,,2,1,0,131644.41,0
179,15763063,Тестов315,677,Алматы,Female,35,8,,2,1,1,120880.72,0
180,15585888,Тестов39,651,Атырау,Male,39,5,99169.67,2,1,1,24499.97,0
181,15673529,Тестов589,642,Алматы,Male,46,6,,1,1,0,163562.87,1
182,15738487,Тестов240,637,Алматы,Female,35,8,,1,0,0,6761.84,0
183,15649744,Тестов707,663,Алматы,Female,47,5,,3,1,0,143668.58,1
184,15636428,Тестов97,539,Атырау,Male,31,6,118560,1,1,1,123622,0
185,15807909,Тестов747,749,Алматы,Male,34,4,,2,0,1,171045.35,0
186,15752953,Тестов509,724,Астана,Female,40,6,,2,1,1,124596.63,0
187,15642725,Тестов108,686,Алматы,Male,67,1,,2,1,1,89893.6,0
188,15699507,Тестов94,678,Алматы,Male,35,9,,2,1,0,103349.74,0
189,15644833,Тестов435,686,Атырау,Female,41,7,183768.47,1,0,0,63795.8,1
190,15582762,Тестов430,535,Атырау,Female,39,4,139480.18,1,1,1,171575.55,1
191,15797822,Тестов367,828,Алматы,Female,43,6,102088.67,1,1,1,155846.69,0
192,15629244,Тестов631,656,Алматы,Male,35,2,,2,1,0,176843.53,0
193,15658532,Тестов708,714,Алматы,Male,34,2,142263.45,1,1,0,183872.88,0
194,15662291,Тестов159,587,Алматы,Female,36,1,108862.76,1,1,1,145789.71,0
195,15581388,Тестов527,577,Алматы,Female,28,6,,2,1,1,80638.27,0
196,15578045,Тестов201,751,Алматы,Female,24,3,,2,1,1,90905.94,0
197,15789936,Тестов224,646,Алматы,Male,34,1,,2,1,1,48988.28,0
198,15768293,Тестов97,699,Астана,Female,34,1,,2,1,1,16081.62,0
199,15679550,Тестов175,594,Алматы,Male,60,3,,2,0,1,125010.24,0
200,15627195,Тестов324,551,Астана,Male,31,1,,2,1,1,152856.85,0
201,15797919,Тестов647,695,Алматы,Male,60,8,,3,1,0,175043.69,1
202,15745196,Тестов364,607,Алматы,Male,44,7,141359.37,1,1,1,88729.22,0
203,15742668,Тестов814,590,Алматы,Male,34,9,,1,1,1,83343.73,0
204,15680399,Тестов101,775,Алматы,Female,52,8,,1,1,0,168080.53,1
205,15775124,Тестов345,629,Алматы,Female,44,7,139432.37,1,0,1,183572.39,0
206,15667588,Сатыбалдин,696,Алматы,Female,38,5,,1,1,1,125870.5,0
207,15588517,Тестов328,753,Алматы,Male,31,8,,2,0,1,92916.53,0
208,15593954,Тестов307,663,Астана,Female,44,9,,3,1,0,170518.83,1
209,15756926,Тестов823,639,Атырау,Female,31,1,133811.75,1,1,0,93959.96,0
210,15628583,Тестов89,635,Атырау,Female,42,2,130023.38,2,1,1,173899.42,1
211,15588948,Тестов442,648,Атырау,Male,48,5,127475.23,1,1,1,134878.19,0
212,15583049,Тестов278,644,Алматы,Female,29,5,,2,0,0,133897.32,0
213,15744044,Тестов25,641,Астана,Male,29,9,,2,1,0,180622.02,0
214,15687540,Тестов630,684,Алматы,Male,45,7,,2,0,1,55829.25,0
215,15603883,Тестов794,685,Астана,Male,41,9,,2,1,0,103713.93,0
216,15618893,Тестов514,714,Астана,Male,44,1,,1,1,0,181258.76,1
217,15683625,Тестов769,730,Астана,Male,35,6,108197.11,1,1,1,19700.24,0
218,15802570,Тестов205,644,Астана,Male,37,10,,2,1,0,180344.69,0
219,15718057,Тестов513,850,Астана,Male,30,7,,2,1,1,54474.48,0
220,15760104,Тестов209,718,Алматы,Female,35,8,,2,0,0,180598.86,0
221,15705890,Тестов522,637,Алматы,Female,31,9,,1,1,0,126469.09,0
222,15797160,Тестов427,595,Астана,Male,32,7,,2,1,0,84920.49,0
223,15672330,Тестов449,553,Алматы,Female,34,7,123723.92,1,1,0,91094.46,0
224,15696852,Тестов527,697,Атырау,Female,31,2,116471.43,1,1,1,102908.63,1
225,15769110,Тестов255,635,Атырау,Female,33,0,95141.85,2,1,1,155711.64,0
226,15632185,Тестов820,651,Алматы,Male,27,8,,2,1,1,103603.65,0
227,15787693,Тестов712,516,Алматы,Female,26,7,141782.57,1,1,1,111285.85,0
228,15795953,Тестов423,642,Алматы,Female,54,2,116471.43,1,1,0,74890.58,1
229,15673367,Тестов138,724,Алматы,Male,43,9,83415.04,1,1,1,138700.94,0
230,15757577,Тестов475,697,Алматы,Male,28,5,,2,1,0,162858.29,0
231,15777743,Тестов521,684,Алматы,Female,48,8,,1,1,0,163989.66,1
232,15741865,Тестов577,645,Алматы,Female,39,5,,2,1,0,88604.89,0
233,15636353,Баймухамбетов,682,Алматы,Male,24,7,,2,1,0,158853.98,1
234,15749679,Тестов284,705,Атырау,Male,22,5,132057.92,1,1,0,77837.63,0
235,15778975,Тестов601,829,Астана,Male,32,2,,1,1,0,116429.51,0
236,15680234,Тестов646,521,Алматы,Female,36,8,,2,1,1,131097.9,0
237,15691446,Тестов180,577,Астана,Male,39,7,,2,1,1,115136.51,0
238,15753079,Тестов462,609,Алматы,Male,46,2,,2,1,0,48502.88,0
239,15772383,Тестов786,619,Алматы,Female,35,9,,1,1,1,147558.26,0
240,15673929,Тестов727,679,Атырау,Male,45,3,108258.22,1,1,0,61636.22,0
241,15768291,Тестов323,587,Алматы,Male,30,6,,1,0,1,156660.21,0
242,15693637,Тестов737,602,Алматы,Male,47,5,,1,1,0,60420.07,1
243,15596962,Тестов55,656,Алматы,Female,30,2,,1,1,1,51380.9,1
244,15662532,Тестов817,665,Астана,Male,28,2,133618.01,1,1,0,108699.59,0
245,15602731,Тестов303,662,Астана,Female,59,4,,1,1,1,105760.01,0
246,15780989,Тестов199,602,Астана,Male,36,1,,2,0,1,62390.59,0
247,15793849,Тестов368,573,Атырау,Female,49,4,131083.76,1,1,0,175853.64,1
248,15665524,Тестов277,634,Алматы,Male,33,6,,2,1,1,82222.86,1
249,15642394,Тажибаев,718,Алматы,Female,45,5,,1,0,0,152417.97,1
250,15761497,Тестов310,666,Алматы,Female,41,10,,2,1,0,125962.02,0
251,15585595,Тестов477,578,Атырау,Male,29,5,140894.06,2,0,1,56971.41,0
252,15725068,Тестов67,624,Алматы,Female,35,4,,2,1,0,55829.25,0
253,15676094,Тестов331,806,Атырау,Male,41,5,82909.14,2,1,1,180553.48,1
254,15593737,Тестов199,751,Астана,Male,30,8,114739.92,1,0,0,25339.29,0
255,15799492,Тестов450,516,Алматы,Male,25,4,145657.84,1,1,1,94738.54,0
256,15604963,Тестов411,586,Астана,Male,35,7,,2,1,1,179634.69,0
257,15706021,Тестов358,589,Алматы,Female,54,9,,1,1,0,170829.87,1
258,15814022,Тестов412,756,Алматы,Female,39,4,,2,1,0,199357.24,0
259,15597896,Тестов40,572,Алматы,Male,40,6,71340.09,1,0,1,56767.67,0
260,15665438,Тестов50,732,Атырау,Female,37,3,129855.32,2,1,0,172576.56,0
261,15632575,Тестов160,738,Алматы,Male,36,1,,2,1,1,78560.64,0
262,15743817,Тестов794,542,Алматы,Female,38,8,,2,1,1,131744.31,0
263,15645820,Тестов739,730,Астана,Male,29,3,,2,1,0,28415.36,0
264,15593499,Тестов527,739,Астана,Female,38,2,,2,1,1,57549.65,0
265,15752294,Тестов594,618,Алматы,Male,27,5,141642.92,1,0,0,93551.36,0
266,15805769,Тестов332,602,Алматы,Male,40,4,,2,1,1,119708.66,0
267,15614772,Тестов422,592,Атырау,Male,35,7,118520.41,1,1,0,172200.91,1
268,15620756,Тестов138,643,Алматы,Male,31,8,,2,1,0,141446.01,0
269,15691513,Тестов262,648,Алматы,Female,34,4,119919.12,2,1,1,128875.86,0
270,15687520,Смагулов,558,Алматы,Male,34,4,132558.26,1,0,0,97939.4,0
271,15706458,Тестов784,619,Алматы,Male,30,3,,2,1,0,117632.63,0
272,15632050,Тестов143,667,Алматы,Male,31,4,,1,1,0,76640.29,0
273,15711130,Тестов194,757,Алматы,Female,31,1,,2,0,1,53412.04,0
274,15632899,Тестов272,850,Алматы,Female,34,2,,1,1,1,142492.04,0
275,15775703,Тестов742,524,Алматы,Male,53,8,139859.54,1,1,0,124964.82,1
276,15664555,Тестов345,686,Алматы,Female,41,4,104833.79,3,0,1,102280.29,1
277,15655252,Кабдулов,706,Астана,Male,36,8,,2,1,0,86791.9,0
278,15713483,Тестов420,669,Атырау,Female,30,2,139822.81,2,1,0,186489.95,0
279,15591698,Тестов100,739,Алматы,Female,36,8,,1,1,1,60908.87,0
280,15764170,Тестов120,699,Алматы,Male,34,9,,2,1,0,161388.22,0
281,15688059,Тестов711,719,Астана,Female,38,3,,2,0,0,155915.24,0
282,15738150,Тестов690,663,Атырау,Male,46,8,114450.32,1,1,0,167538.66,1
283,15672905,Тестов224,658,Алматы,Male,35,2,72664,1,1,0,164768.82,0
284,15707291,Тестов304,678,Алматы,Male,30,3,,2,0,0,108887.44,0
285,15641690,Тестов783,683,Алматы,Male,44,7,,1,1,1,189428.75,0
286,15635116,Тестов451,651,Алматы,Male,60,5,,3,0,0,163655.01,1
287,15753847,Тестов426,725,Астана,Male,36,7,,2,1,1,180890.4,0
288,15697574,Тестов777,589,Алматы,Male,31,2,,2,1,1,154486.01,0
289,15702432,Тестов573,584,Алматы,Male,41,7,105767.28,1,1,0,181258.76,0
290,15682533,Тестов724,613,Астана,Male,33,2,121898.58,1,1,0,143635.36,0
291,15582944,Тестов537,668,Алматы,Male,39,3,151218.19,1,0,1,94558.49,0
292,15617454,Тестов562,709,Алматы,Male,32,2,,2,1,0,180736.24,0
293,15661528,Тестов783,663,Алматы,Female,21,3,,2,1,0,80701.72,0
294,15670584,Тестов94,663,Алматы,Female,26,1,142724.48,1,1,1,171060.01,0
295,15802501,Тестов428,590,Алматы,Male,34,6,,2,1,0,85439.73,0
296,15778696,Тестов30,645,Астана,Male,28,4,,1,1,0,138344.7,0
297,15678057,Тестов500,812,Алматы,Male,42,9,,2,1,0,99017.34,0
298,15643826,Тестов801,651,Атырау,Female,29,10,124580.69,2,1,0,62347.71,0
299,15786717,Тестов37,661,Алматы,Male,46,7,,2,0,0,135925.72,0
300,15659236,Тестов480,516,Атырау,Male,35,7,169902.92,1,1,1,67979.35,0
301,15777599,Тестов467,543,Астана,Female,60,8,,1,0,1,79577.4,1
302,15787196,Тестов166,523,Атырау,Female,29,4,106901.42,2,1,1,141023.01,0
303,15656613,Тестов599,619,Алматы,Female,28,1,,2,1,0,154775.7,0
304,15629551,Тестов442,633,Алматы,Male,29,8,,2,1,1,161479.19,0
305,15579433,Тестов804,622,Алматы,Male,40,6,,2,1,0,142342.55,0
306,15778368,Тестов174,694,Алматы,Male,37,9,128960.24,1,1,0,28238.25,0
307,15627195,Тестов120,614,Атырау,Male,49,3,166031.45,1,1,0,99495.01,1
308,15707020,Тестов341,776,Алматы,Male,37,9,137389.77,1,1,1,52795.56,0
309,15751175,Тестов160,589,Астана,Female,36,6,,2,1,0,64539.64,0
310,15724181,Исмагулов,812,Алматы,Female,53,7,,1,1,0,141533.19,1
311,15809836,Тестов796,767,Алматы,Female,40,3,,2,0,1,161668.15,0
312,15698932,Тестов756,544,Алматы,Male,33,1,137986.55,1,1,1,167522.19,0
313,15716347,Тестов122,769,Алматы,Female,39,2,,2,1,1,19500.1,0
314,15803801,Тестов391,613,Алматы,Male,48,7,,2,1,0,184564.67,0
315,15794056,Тестов119,683,Алматы,Male,25,5,,2,0,0,95007.8,0
316,15678058,Тестов773,535,Атырау,Male,56,3,135067.02,1,1,0,136610.02,1
317,15726153,Тестов234,598,Алматы,Female,46,9,117707.18,1,1,1,125918.14,1
318,15729377,Тестов788,718,Астана,Male,26,4,,2,0,1,129870.93,0
319,15702789,Тестов255,495,Алматы,Male,37,1,,2,1,0,140937.97,0
320,15768342,Тестов796,526,Алматы,Male,41,2,,1,1,0,162719.69,0
321,15758252,Тестов72,676,Алматы,Male,36,9,,2,1,1,181461.46,0
322,15657778,Тестов328,554,Алматы,Female,36,2,141287.16,1,1,1,131249.46,0
323,15671779,Тестов835,627,Алматы,Female,54,6,,1,1,0,85901.09,1
324,15726234,Тестов240,646,Алматы,Male,39,8,,2,1,0,78744.39,0
325,15681562,Тестов57,656,Астана,Female,47,4,,1,1,1,64831.36,1
326,15655252,Тестов691,659,Алматы,Female,37,9,,2,1,1,131284.92,0
327,15702300,Тестов817,567,Алматы,Male,43,6,,2,1,1,116977.89,0
328,15783029,Тестов819,619,Алматы,Female,27,2,,2,0,1,173683,0
329,15659325,Тестов158,614,Атырау,Male,33,7,123916.67,2,1,1,78858.07,0
330,15652069,Тестов652,758,Астана,Female,43,7,,2,1,1,125979.36,0
331,15659820,Тестов545,696,Астана,Male,37,4,132796.04,1,1,0,161428.25,0
332,15797736,Тестов709,581,Алматы,Female,32,5,,2,1,0,173870.39,0
333,15617078,Тестов328,732,Алматы,Male,31,10,156674.2,1,0,1,72927.68,0
